Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"WASDELL DUNDALK (FR)",2015,GELDING,"SPIRIT ONE (FR)","LINDA QUEEN (FR)","Lisa Harrison",,,,,,,114,new,,104,,
"WATCHA SNOOP (IRE)",2023,GELDING,"COULSTY (IRE)","SCOOP (IRE)","Hugo Palmer",77,-5,,,,,,,,,,
"WATER TO WINE (FR)",2023,COLT,"KINGMAN (GB)","LISTEN IN (IRE)","John & Thady Gosden",104,new,,,,,,,,,,
"WATERCRAFT (IRE)",2023,COLT,"NIGHT OF THUNDER (IRE)","BOATER (IRE)","Richard Hannon",57,new,,,,,,,,,,
"WEE MARY (IRE)",2022,FILLY,"SANDS OF MALI (FR)","TY ROCK BRANDY (IRE)","Jim Goldie",48,+1,,,,,,,,,,
"WEFFAAG (GB)",2023,COLT,"HAVANA GREY (GB)","MINORIA (GB)","William Haggas",77,new,,,,,,,,,,
"WELLJUDGED (GB)",2022,FILLY,"SIYOUNI (FR)","WELL YES (IRE)",,65,-3,,,,,,,,,,
"WESTERN GEORGE (IRE)",2021,GELDING,"ORDER OF ST GEORGE (IRE)","GORGEOUS KATE (IRE)","Jonjo & A.J. O'Neill",,,,,,,,,,105,new,
"WHAT A TAHOO (IRE)",2023,FILLY,"COTAI GLORY (GB)","TAHOO (IRE)","Richard & Peter Fahey",46,+1,,,,,,,,,,
"WHATCOMBE (IRE)",2022,GELDING,"CAMELOT (GB)","DUCHESS ANDORRA (IRE)","Faye Bramley",65,,,,,,,,,83,-5,
"WHENTHEMUSICSTOPS (IRE)",2021,GELDING,"JET AWAY (GB)","DIDN'T I TELL YOU (IRE)","Jennie Candlish",,,,,,,,,,92,-2,
"WHERES THE CRUMPET (GB)",2018,FILLY,"MUKHADRAM (GB)","JIVRY (GB)","David Thompson",43,-3,,,,,,,,,,
"WHO'S LOPE (GB)",2023,GELDING,"LOPE DE VEGA (IRE)","WHO'S STEPH (IRE)","Andrew Balding",83,new,,,,,,,,,,
"WICKSEY (GB)",2023,GELDING,"EXPERT EYE (GB)","DUSTY RED (GB)","Ben Haslam",67,-1,,,,,,,,,,
"WILD THOUGHTS (IRE)",2023,GELDING,"LUCKY VEGA (IRE)","SHE'S COMPLETE (IRE)","Richard Spencer",89,+5,,,,,,,,,,
"WILLIAM OF YORK (GB)",2016,GELDING,"KAYF TARA (GB)","SHADY ANNE (GB)","Rebecca Menzies",,,,,,,98,-3,,98,-3,
"WILLOWINGHURN (GB)",2023,FILLY,"ARDAD (IRE)","FAME GAME (IRE)","David O'Meara",61,-2,,,,,,,,,,
"WINGSTAR (IRE)",2022,FILLY,"ZOUSTAR (AUS)","SABREWING (IRE)","Michael Keady",44,-1,,,,,,,,,,
"WINNING PADDY (IRE)",2018,GELDING,"OCOVANGO (GB)","WINNING INDIAN (IRE)","Alexandra Dunn",,,,,,,86,new,,86,,
"WISE EAGLE (IRE)",2017,GELDING,"FREE EAGLE (IRE)","BEST BE CAREFUL (IRE)","Adam Nicol",95,,,,,,,,,126,-1,
"WISE PRINCE (IRE)",2023,COLT,"GHAIYYATH (IRE)","MILITATE (GB)","John & Thady Gosden",102,-2,,,,,,,,,,
"WITH GLORY (IRE)",2023,FILLY,"COTAI GLORY (GB)","WITH VIRTUE (GB)","Linda Perratt",54,-3,,,,,,,,,,
"WOBWOBWOB (IRE)",2018,GELDING,"PRINCE OF LIR (IRE)","ISHIMAGIC (GB)","Adrian Keatley",78,-3,,72,-3,,,,,,,
"WONDROUS (IRE)",2023,FILLY,"ACCLAMATION (GB)","QAFILAH (IRE)","Michael Bell",49,-3,,,,,,,,,,
"WOODLEIGH (IRE)",2021,GELDING,"INNS OF COURT (IRE)","NAQRAH (IRE)","Roger Fell",55,+2,,,,,,,,,,
"WOODY Y FERNANDEZ (GB)",2023,GELDING,"LOPE Y FERNANDEZ (IRE)","SHAIYDANA (FR)","Ivan Furtado",48,-1,,,,,,,,,,
"WRESTLING REVENUE (IRE)",2021,GELDING,"MEHMAS (IRE)","PARTY ANIMAL (GB)","Ben Haslam",55,-2,,,,,,,,,,
"WYLE COP (USA)",2023,GELDING,"OMAHA BEACH (USA)","TRUE EGYPTIAN (USA)","Jack Jones",70,-3,,,,,,,,,,
"YA KARIM (IRE)",2023,GELDING,"GHAIYYATH (IRE)","COSMIC LOVE (GB)","Harry Charlton",82,-1,,,,,,,,,,
"YAASER (IRE)",2018,GELDING,"LOPE DE VEGA (IRE)","URJUWAAN (GB)","Jim Goldie",65,-2,,,,,,,,,,
"YAFAARR (IRE)",2022,GELDING,"BLUE POINT (IRE)","ELUSIVE GIRL (IRE)","Sam England",60,-2,,,,,,,,,,
"YASALAM (GB)",2023,FILLY,"NIGHT OF THUNDER (IRE)","FEEDYAH (USA)",,65,-4,,,,,,,,,,
"YASMINA (GB)",2020,FILLY,"IFFRAAJ (GB)","WILAMINA (IRE)","Andy Irvine",60,,,,,,,,,101,-1,
"YERMANTHERE (IRE)",2018,GELDING,"FAST COMPANY (IRE)","FAST JAZZ (IRE)","Tim Easterby",65,-3,,,,,,,,,,
"YES DAY (IRE)",2018,GELDING,"COURT CAVE (IRE)","JIGGLE JOULES (IRE)","Jonjo & A.J. O'Neill",,,,,,,111,+1,,,,
"YOU MYSTIFY ME (IRE)",2023,FILLY,"A'ALI (IRE)","MYSTIFY ME (GB)","Michael & David Easterby",54,-2,,,,,,,,,,
"YOUTHFUL KING (GB)",2019,GELDING,"FOUNTAIN OF YOUTH (IRE)","LADY MOSCOU (IRE)","Luke Dace",79,-2,,,,,,,,,,
"ZAMOND (FR)",2016,GELDING,"DIAMOND GREEN (FR)","COSAVITA (FR)","Donald McCain",,,,,,,,,,94,-1,
"ZEPHLYN (IRE)",2019,GELDING,"IFFRAAJ (GB)","TAQDEES (IRE)","Ewan Whillans",56,-2,,,,,,,,104,,
"ZHANG FEI (FR)",2018,GELDING,"CAMELOT (GB)","MAMBOMISS (FR)","Fergal O'Brien",62,,,,,,,,,98,-2,
"ZIGGY'S ANGEL (FR)",2022,GELDING,"DARK ANGEL (IRE)","SIENDRA (IRE)","Richard & Peter Fahey",58,-3,,,,,,,,,,
"ZIGGY'S QUEEN (IRE)",2021,FILLY,"INVINCIBLE SPIRIT (IRE)","IRON LADY (IRE)","Richard & Peter Fahey",73,-1,,,,,,,,,,
"ZIPWIRE (IRE)",2023,GELDING,"BUNGLE INTHEJUNGLE (GB)","MELANIE PIMM (IRE)","J. S. Moore",69,-1,,,,,,,,,,
"ZOOTER (GB)",2023,GELDING,"AUSTRALIA (GB)","KALAGIA (IRE)","Jack Jones",65,-2,,,,,,,,,,
"ZOULETTE (IRE)",2023,FILLY,"ZOUSTAR (AUS)","CLIFFTOP DANCER (IRE)","Ollie Sangster",55,+2,,,,,,,,,,
"ZOUSTAR DREAMS (GB)",2023,FILLY,"ZOUSTAR (AUS)","A HUGE DREAM (IRE)","Ed Dunlop",63,+6,,,,,,,,,,
"ZU RUN (GB)",2020,GELDING,"ZOUSTAR (AUS)","BEWITCHMENT (GB)","Mark Loughnane",53,+1,,,,,,,,,,
"ZUBARU (GB)",2022,GELDING,"ZOUSTAR (AUS)","DOZY (IRE)","George Scott",83,+1,,,,,,,,,,
"ZUMBI (GER)",2017,GELDING,"RELIABLE MAN (GB)","ZALEXA (GER)","James Moffatt",,,,,,,95,+3,,,,
