Racehorse,YOF,Sex,Trainer,Latest,"2 runs ago","3 runs ago","4 runs ago","5 runs ago","6 runs ago"
"FIRST ANGEL (FR)",2016,GELDING,"Martin Keighley",S:0,S:110,S:88,S:110,S:93,S:106
"FIRST CANDIDATE (GB)",2020,FILLY,"Dan Skelton",H:x,H:x,H:116,H:x,H:x,H:x
"FIRST CONFESSION (IRE)",2019,GELDING,"Joe Tizzard",S:100,S:132,S:0,S:110,S:127,S:127
"FIRST CONQUEST (GB)",2021,GELDING,"Charlie Appleby",T:109,T:111,T:108,T:98,T:x,T:x
"FIRST ENCOUNTER (GB)",2021,GELDING,"John Gallagher",A:47,A:51,A:49,A:49,A:38,A:41
"FIRST FOLIO (GB)",2018,GELDING,"Julie Camacho",T:56,T:75,A:75,T:75,T:84,T:86
"FIRST GREYED (IRE)",2018,GELDING,"Thomas Faulkner",A:55,A:54,A:51,A:68,A:60,A:62
"FIRST INSTINCT (GB)",2022,FILLY,"William Haggas",T:91,T:107,T:91,T:100,T:96,T:102
"FIRST LEGION (IRE)",2023,COLT,"Richard Hannon",T:81,T:89,T:90,T:83,T:84,A:74
"FIRST OFFICER (IRE)",2019,GELDING,"Jane Chapple-Hyam",T:74,T:77,T:73,T:76,T:69,T:78
"FIRST PRINCIPLE (GB)",2022,GELDING,"William Haggas",T:91,T:77,A:84,A:95,A:93,A:92
"FIRST TIME (IRE)",2023,GELDING,"Richard & Peter Fahey",T:68,A:86,T:x,T:x,T:x,T:x
"FIRST VIEW (IRE)",2017,GELDING,,A:79,A:78,T:57,T:81,A:70,A:88
"FISCAL POLICY (IRE)",2019,GELDING,"Ruth Carr",T:64,T:69,T:70,T:69,A:61,A:60
"FISTRAL BEACH (IRE)",2021,FILLY,"John Mackie",A:58,A:59,A:57,A:54,A:55,A:44
"FITZELLA (GB)",2023,FILLY,"Hugo Palmer",T:87,T:98,T:102,T:103,T:97,T:x
"FITZMAURICE (IRE)",2022,GELDING,"Tony Carroll",T:32,A:40,A:37,A:33,A:50,T:16
"FITZROY GARDENS (IRE)",2022,FILLY,"Micky Hammond",H:x,H:x,H:x,-,-,-
"FIVE BAR GATE (IRE)",2020,GELDING,"Neil Mulholland",H:x,H:x,H:x,N:x,N:x,-
"FIVE CAY (GB)",2023,GELDING,,A:x,A:x,A:x,A:x,A:x,-
"FIVE MOONS (IRE)",2023,FILLY,"Simon & Ed Crisford",A:62,A:x,A:x,A:x,-,-
"FIVE WAYS (GB)",2023,COLT,"Andrew Balding",T:93,T:95,T:104,A:98,T:x,T:x
"FIVEAFTERFOUR (IRE)",2018,FILLY,"Lucinda Russell & Michael Scudamore",S:0,S:0,H:93,H:89,H:93,H:96
"FIVETHOUSANDTOONE (IRE)",2018,GELDING,"Tim Easterby",T:71,T:78,A:98,A:96,A:96,A:87
"FIX AT ALL (FR)",2016,GELDING,"Callum Bickers-Price",H:107,H:102,H:107,H:99,H:0,H:0
"FIXATED (FR)",2022,GELDING,,A:31,T:38,A:x,T:x,T:x,-
"FIZZY BEAR (IRE)",2023,GELDING,"George Baker",A:21,T:x,T:x,A:x,-,-
"FIZZY CRISTAL (GB)",2023,FILLY,"Richard & Peter Fahey",T:65,A:70,T:58,A:67,A:64,T:x
"FLAG CARRIER (IRE)",2021,GELDING,"Brian Toomey",H:x,A:58,A:58,A:65,T:55,A:41
"FLAG OF ST GEORGE (IRE)",2021,GELDING,"Jane Chapple-Hyam",A:55,A:75,A:84,T:56,T:84,A:68
"FLAGON DRY (IRE)",2022,GELDING,,H:0,H:79,H:86,H:90,H:89,T:59
"FLAINE (IRE)",2022,FILLY,,A:25,A:62,A:37,A:59,A:56,A:68
"FLAMBOROUGH HEAD (GB)",2022,GELDING,,T:52,T:49,A:37,T:38,T:46,T:46
"FLAME DANCER (GB)",2022,FILLY,,A:0,H:x,H:x,T:35,A:x,A:x
"FLAMELCO (FR)",2018,GELDING,"Sarah Humphrey",S:0,H:56,S:0,S:96,S:110,S:90
"FLASH BARDOT (GB)",2020,FILLY,"Henrietta C Knight",H:x,H:x,T:72,T:45,T:63,A:68
"FLASH DU PISTOLET (IRE)",2018,GELDING,"Stuart Coltherd",S:92,S:102,S:82,S:95,S:104,S:101
"FLASH GORCOMBE (GB)",2017,GELDING,,S:85,S:95,S:83,S:100,S:96,S:75
"FLASH HARRY (GB)",2022,GELDING,"Clive Cox",T:79,T:85,T:102,T:94,T:x,A:x
"FLASH IN THE PAN (IRE)",2021,GELDING,"Kathy Turner",H:84,H:76,H:94,H:95,H:0,H:94
"FLASH IN THE PARK (IRE)",2018,GELDING,,S:61,S:92,S:70,S:89,S:94,S:65
"FLASH KOZO (IRE)",2023,GELDING,"Harry Eustace",T:57,A:68,A:x,A:x,-,-
"FLASH MAN (FR)",2022,GELDING,"Toby Lawes",H:x,H:x,H:x,H:x,H:82,-
"FLASH OF FIRE (GB)",2023,FILLY,"James Ferguson",T:79,A:x,T:x,-,-,-
"FLASH RASCAL (GB)",2023,GELDING,"Dr Richard Newland & Jamie Insole",T:75,A:60,A:70,A:70,A:68,A:69
"FLASH THE DASH (IRE)",2019,GELDING,,A:44,A:36,A:51,A:52,A:54,A:49
"FLASHY BOY (IRE)",2017,GELDING,"John Mathias",S:0,H:85,H:80,H:82,H:72,H:x
"FLATLEY (GB)",2017,GELDING,,A:40,A:45,T:56,T:62,T:64,T:6
"FLEETWATER (GB)",2022,FILLY,"J. S. Moore",A:82,A:75,A:82,T:63,A:72,T:82
"FLEMENSTIDE (IRE)",2015,GELDING,,S:0,S:85,S:0,S:53,H:113,H:0
"FLETCHER (GB)",2023,GELDING,"Jim Boyle",T:34,T:45,T:x,T:x,T:x,-
"FLETCHER'S FLIGHT (IRE)",2020,GELDING,"Charlie Wallis",T:48,A:0,A:46,A:57,T:52,T:62
"FLETCHERS DREAM (GB)",2021,GELDING,"Damien Wingrove",A:28,A:52,A:58,A:47,A:56,A:62
"FLEUR DE MER (IRE)",2020,FILLY,"Martin Todhunter",T:60,A:60,A:60,A:59,A:37,A:63
"FLEURMAN (IRE)",2018,GELDING,"Patrick Morris",T:50,A:68,A:69,A:66,A:61,A:0
"FLICKA'S GIRL (GB)",2022,FILLY,,A:51,A:47,A:46,A:46,A:49,A:51
"FLICKERING HALO (IRE)",2021,GELDING,,A:54,T:61,T:63,T:70,A:54,T:72
"FLIGHT (GB)",2022,FILLY,,T:90,T:73,T:95,T:108,T:98,T:102
"FLIGHT CONTROL (IRE)",2023,GELDING,"Kevin & Lauren Frost",T:x,T:x,-,-,-,-
"FLIGHT LEADER (GB)",2020,GELDING,,T:82,T:81,T:90,A:90,T:93,T:102
"FLIGHT PLAN (GB)",2020,COLT,"K. R. Burke",T:72,A:89,A:94,A:94,T:101,T:95
"FLIGHTOFTHEPHOENIX (IRE)",2022,FILLY,"Charles Hills",A:61,A:64,A:68,A:64,A:73,A:67
"FLINTARA (GB)",2015,FILLY,,H:89,S:78,S:79,S:85,H:66,H:97
"FLOATING ROCK (GER)",2015,GELDING,"Michael Gates",H:65,H:51,H:72,H:77,S:0,H:0
"FLORA OF BERMUDA (IRE)",2021,FILLY,"Andrew Balding",T:109,T:94,T:111,T:84,T:107,T:110
"FLORIDA DREAMS (IRE)",2018,GELDING,"Sandy Thomson",T:x,H:105,H:79,H:118,H:125,H:126
"FLORIDA SUITE (IRE)",2023,FILLY,,A:59,A:48,A:68,A:x,A:x,T:56
"FLORITA (IRE)",2018,FILLY,"Sam England",S:75,S:0,S:90,S:79,S:83,H:54
"FLOWERHEAD (IRE)",2023,FILLY,"Charlie Clover",T:88,T:88,T:80,T:66,T:89,T:95
"FLOWING CADENZA (GB)",2014,FILLY,,S:83,S:103,S:99,S:95,S:0,S:113
"FLOWSTATE (IRE)",2021,GELDING,"David O'Meara",A:76,A:72,A:72,A:68,A:63,A:62
"FLUORESCENCE (GB)",2022,FILLY,"Edward Bethell",A:85,T:61,T:90,A:85,T:86,T:x
"FLYBAR (IRE)",2023,FILLY,"Hugo Palmer",T:5,T:46,A:38,T:x,T:x,T:x
"FLYING COMET (GB)",2023,COLT,"Simon & Ed Crisford",T:89,T:96,T:92,T:x,T:x,T:x
"FLYING FLETCHER (GB)",2021,GELDING,"Richard & Peter Fahey",T:69,T:74,T:72,A:77,A:77,A:61
"FLYING FORTUNE (IRE)",2019,FILLY,"Mickey Bowen",H:117,H:113,H:121,H:89,H:107,H:x
"FLYING FRONTIER (GB)",2020,COLT,"James Tate",T:91,T:68,T:84,T:95,T:81,T:95
"FLYING MACS (GB)",2023,FILLY,,A:26,A:51,A:50,A:44,A:52,A:59
"FLYING MOONLIGHT (IRE)",2023,GELDING,"Sandy Thomson",T:x,T:x,T:x,-,-,-
"FLYING PANTHER (GB)",2020,GELDING,,H:x,H:x,A:0,A:29,A:52,T:46
"FLYING PIMPERNEL (GB)",2021,FILLY,,H:78,H:x,H:x,H:x,N:x,N:x
"FLYING SANDPIPER (IRE)",2019,GELDING,"Robbie Llewellyn",H:0,H:29,H:71,H:53,H:0,H:x
"FLYING SCOTSMAN (IRE)",2017,GELDING,,A:0,A:42,H:59,T:52,T:57,A:59
"FLYING SQUAD (IRE)",2023,GELDING,"Simon & Ed Crisford",A:x,A:x,A:x,-,-,-
"FLYING STAR (IRE)",2020,FILLY,"John Berry",T:22,T:38,T:38,T:46,T:37,A:34
"FLYNN RYDER (GB)",2022,GELDING,,A:16,A:49,A:52,-,-,-
"FLYTA (IRE)",2023,FILLY,"Mark Loughnane",A:48,A:x,A:x,A:x,A:x,-
"FOINIX (GB)",2020,GELDING,"Jim & Suzi Best",A:38,H:63,A:38,A:40,H:x,H:x
"FOLK PAGEANT (GB)",2023,FILLY,"Charlie Johnston",T:80,T:75,A:46,A:x,T:x,-
"FOLKENE (FR)",2022,FILLY,"Roger Fell",T:70,T:62,T:66,T:73,T:22,T:78
"FOLLOW CHARLIE (IRE)",2019,GELDING,"R. Mike Smith",H:82,H:96,H:57,H:101,H:103,H:103
"FOLLOW MY HEART (GB)",2023,FILLY,"Rod Millman",T:36,A:x,A:x,A:x,-,-
"FOLLOW THE LEADER (IRE)",2019,GELDING,"John Wainwright",H:x,H:x,H:x,-,-,-
"FOLLOW THE PLAN (GB)",2021,FILLY,"David Pipe",H:x,H:x,H:x,-,-,-
"FOLLOW YOUR HEART (IRE)",2018,GELDING,"Mark Loughnane",T:51,A:60,A:74,A:80,A:81,A:76
"FOLLOW YOUR LUCK (IRE)",2021,GELDING,"Patrick Neville",H:x,H:x,-,-,-,-
"FOLLOWANGO (IRE)",2018,FILLY,"Mrs C. Williams",S:78,S:104,S:105,S:95,S:85,H:105
"FOLLOWCATO (IRE)",2019,GELDING,"Ben Pauling",S:132,S:127,S:118,S:113,S:105,S:0
"FOLLOWING CHAPTER (GB)",2020,GELDING,"Alastair Ralph",H:74,H:104,H:101,H:83,H:x,H:x
"FOND FAREWELL (IRE)",2019,GELDING,"Oliver Greenall & Josh Guerriero",H:76,H:0,H:81,H:x,H:x,H:x
"FONDO BLANCO (GB)",2022,COLT,"Roger Varian",T:103,T:101,T:92,A:88,T:84,T:85
"FONGS WAY (IRE)",2015,GELDING,"Miss Jessica Jayne Fereday-Jones",H:0,H:0,-,-,-,-
"FONTANA ELLISSI (FR)",2016,GELDING,"Samuel Drinkwater",H:0,H:77,H:102,H:0,H:88,H:109
"FOOD FOR THOUGHT (GB)",2023,FILLY,"Ralph Beckett",T:x,T:x,T:x,-,-,-
"FOOL AGAIN (USA)",2022,FILLY,,A:51,A:50,A:64,A:53,T:x,T:51
"FOOLS RUSH IN (IRE)",2018,GELDING,"Ruth Carr",A:62,A:42,A:57,A:52,A:44,A:65
"FOOTAGE DETECTIVES (GB)",2021,FILLY,"Henry Oliver",H:x,H:x,H:x,N:x,-,-
"FOOTHOLD (IRE)",2023,GELDING,"Marcus Tregoning",T:71,T:57,T:57,A:53,A:x,A:x
"FOOTLOOSE MAN (GB)",2019,GELDING,"Richard Hobson",S:92,S:73,S:83,S:85,S:81,S:85
"FOOTSTEPINTHEWOODS (IRE)",2023,GELDING,"Emma Lavelle",T:60,T:58,T:x,T:x,T:x,-
"FOOTWORK (GB)",2022,COLT,"Charlie Johnston",T:87,T:86,T:72,A:37,A:85,T:85
"FOR GINA (GB)",2018,FILLY,,H:104,H:101,H:69,H:86,H:102,H:90
"FOR LOVE OF BEAUTY (GB)",2021,FILLY,"Noel Williams",H:68,H:44,H:x,H:x,H:x,N:x
"FOR OLD TIMES SAKE (IRE)",2021,GELDING,"Neil Mulholland",H:0,H:60,H:82,H:x,H:x,H:x
"FOR RITA (IRE)",2013,FILLY,"Miss A. Henry",H:93,H:0,H:59,-,-,-
"FOR WHAT ITS WORTH (IRE)",2022,GELDING,,A:27,A:12,T:11,T:x,A:x,A:x
"FORAGER (GB)",2022,FILLY,"Simon Pearce",T:62,A:60,A:83,A:75,T:39,T:76
"FORBIDDEN COLOURS (IRE)",2023,FILLY,"Ed Walker",T:x,A:x,T:x,-,-,-
"FORCA TIMAO (IRE)",2020,GELDING,"Mark Pattinson",A:54,A:59,A:59,A:56,A:34,A:55
"FORCE OF HONOUR (GB)",2022,GELDING,,A:23,A:40,A:27,A:56,T:59,A:56
"FORCEFUL LADY (GB)",2023,FILLY,,A:14,A:35,A:28,A:49,A:50,T:46
"FORCETORECKONWITH (IRE)",2019,FILLY,"Oliver Greenall & Josh Guerriero",S:90,S:93,S:89,S:82,S:82,S:88
"FORDHAM FLYER (GB)",2023,GELDING,"Philip Kirby",T:47,T:x,T:x,T:x,-,-
"FORESEEN (GB)",2021,GELDING,"Tony Carroll",T:79,A:76,A:75,A:76,A:68,A:73
"FOREST BLAZE (GB)",2019,GELDING,"Mark Walford",H:69,H:90,H:103,H:97,H:102,H:90
"FOREST CAPER (GB)",2021,GELDING,"David O'Meara",A:11,A:69,A:70,A:65,A:70,A:x
"FOREST GATE (IRE)",2021,GELDING,"James Owen",T:73,T:83,A:46,A:83,T:85,T:x
"FOREST GUNNER (IRE)",2021,GELDING,,A:46,A:35,A:54,A:34,A:43,A:44
"FOREST HILLS (IRE)",2021,GELDING,"Carroll Gray",H:69,H:63,H:x,H:x,H:x,T:50
"FOREST PHOENIX (GB)",2023,GELDING,"Tim Easterby",T:x,A:x,T:x,T:x,-,-
"FOREST SPIRIT (IRE)",2021,FILLY,"Mickey Bowen",H:82,H:80,H:74,H:x,H:x,H:x
"FOREVER GLAMOROUS (GB)",2023,GELDING,"Christopher Mason",T:53,T:53,T:36,T:41,T:54,T:x
"FOREVER LOUIE (GB)",2021,GELDING,,H:x,H:x,H:x,N:x,N:x,-
"FOREVER MY PRINCE (GB)",2022,GELDING,"Michael Blake",T:57,T:45,T:64,T:59,T:x,A:59
"FOREVER NOAH (GB)",2021,GELDING,"Joey Ramsden",A:57,A:41,A:56,A:55,A:36,A:41
"FOREVER PENYWERN (GB)",2022,GELDING,"Warren Greatrex",H:102,H:85,H:x,H:101,H:88,A:x
"FOREVER PERFECT (GB)",2023,FILLY,"Rebecca Menzies",A:61,A:61,A:59,A:54,A:40,A:x
"FOREVER TWENTY (GB)",2023,FILLY,"Ivan Furtado",T:47,T:56,A:50,A:x,A:x,A:x
"FORGED WELL (IRE)",2019,GELDING,"Martin Todhunter",H:36,H:93,S:0,S:116,S:109,S:46
"FORGET THE WAY (GB)",2017,GELDING,"James Owen",H:65,H:115,H:113,H:114,H:x,H:90
"FORGLEN (GB)",2021,GELDING,"William Stone",A:51,A:57,A:54,A:51,A:50,A:43
"FORMEL PARK (GB)",2020,FILLY,,S:0,H:40,S:0,S:74,S:72,H:40
"FORMIDABLE DON (IRE)",2022,GELDING,,T:33,T:39,T:45,T:x,T:x,T:x
"FORNIDO (GB)",2022,GELDING,"Michael Attwater",A:49,A:50,A:43,A:52,A:42,A:43
"FORSA BAY (IRE)",2020,GELDING,"L J Morgan",S:0,S:77,S:95,S:0,S:97,H:38
"FORT AUGUSTUS (GB)",2022,GELDING,"Charlie Wallis",A:59,A:50,A:55,A:49,A:54,A:46
"FORT ROCK (GB)",2023,COLT,"Charlie Appleby",T:90,A:x,A:x,-,-,-
"FORTAMOUR (IRE)",2016,GELDING,"Ben Haslam",T:75,T:60,A:54,A:74,A:77,A:75
"FORTESCUE (GB)",2014,GELDING,,S:88,S:90,S:112,S:116,S:0,S:105
"FORTIFICATION (GB)",2023,GELDING,"Brian Ellison",T:85,T:85,A:80,A:72,A:70,A:x
"FORTUNAS DREAM (IRE)",2022,FILLY,"John Butler",A:12,A:43,A:30,A:51,A:x,A:x
"FORTUNATE FELLA (IRE)",2020,GELDING,"Henry Hogarth",S:0,S:80,S:102,S:99,H:79,H:x
"FORTUNATE MAN (IRE)",2019,GELDING,,S:125,S:115,S:120,S:128,S:110,S:125
"FORTUNATE STAR (IRE)",2020,GELDING,,T:33,A:57,A:58,A:57,A:58,A:52
"FORTUNE DANCER (IRE)",2018,FILLY,"Chris Gordon",S:107,S:106,S:100,S:89,H:x,H:x
"FORTUNE DE MER (IRE)",2020,GELDING,"Dan Skelton",H:134,H:129,H:x,H:x,N:x,N:x
"FORTUNE TIMMY (IRE)",2020,GELDING,"Chris Gordon",H:91,H:x,H:x,H:x,H:x,H:x
"FORTUNEDEFORTUNATA (IRE)",2017,GELDING,"Patrick Morris",S:97,S:125,S:0,S:114,H:x,H:x
"FORTUNEFAVORSDBOLD (IRE)",2018,FILLY,"Christian Williams",S:101,S:96,S:98,S:0,S:89,S:95
"FORTY YEARS ON (IRE)",2022,FILLY,"George Scott",A:88,T:86,T:x,T:x,A:x,-
"FOSSOS (IRE)",2018,GELDING,,T:5,T:26,T:15,T:20,T:20,T:33
"FOSTERED PHIL (IRE)",2014,GELDING,"William Young Jnr",H:86,H:100,H:101,H:98,H:94,H:97
"FOUETTE (IRE)",2022,FILLY,"James Horton",T:76,T:86,T:80,A:74,A:92,A:84
"FOUNTAINS BLENHEIN (GB)",2019,GELDING,,H:127,H:x,H:x,H:x,H:x,H:x
"FOUR ADAAY (GB)",2018,FILLY,,T:50,T:54,T:56,T:62,T:59,T:48
"FOUR DECADES (GB)",2021,FILLY,"Tom Ellis",H:98,H:x,H:x,H:x,N:x,N:x
"FOUR FIFTY (GB)",2022,GELDING,"Harry Ryall",T:24,A:55,T:29,T:56,T:65,A:65
"FOUR O SEVENSEVEN (GB)",2022,GELDING,,A:0,T:x,T:x,T:x,-,-
"FOUR SPRINGS (IRE)",2021,GELDING,"Ben Pauling",H:0,H:x,H:x,H:x,-,-
"FOUROFAKIND (IRE)",2019,GELDING,"Lizzie Quinlan",H:81,H:0,H:96,H:100,H:93,T:12
"FOURONEOHFEVER (IRE)",2021,GELDING,"George Boughey",H:112,H:118,H:x,H:x,H:x,T:92
"FOURTWOFOUR (IRE)",2021,GELDING,"Karen Jewell",S:0,-,-,-,-,-
"FOX AVATAR (IRE)",2021,GELDING,"Roger Varian",A:83,A:85,A:81,A:81,T:70,A:76
"FOX COTTAGE (GB)",2020,GELDING,,H:71,H:70,H:0,H:85,H:x,H:x
"FOX JOURNEY (GB)",2020,GELDING,"Declan Carroll",T:80,T:80,A:65,T:78,T:70,T:80
"FOX LEGACY (GB)",2021,GELDING,"Andrew Balding",T:114,T:116,T:101,T:93,T:96,A:90
"FOX WALLACE (IRE)",2018,FILLY,"Ella Pickard",S:13,S:0,S:0,S:0,S:57,S:0
"FOX'S FANCY (IRE)",2018,FILLY,"Lucinda Russell & Michael Scudamore",H:0,H:115,H:104,H:102,H:101,S:0
"FOX'S SOCKS (FR)",2015,GELDING,"Mike Sowersby",H:0,H:27,H:55,H:0,H:76,H:70
"FOXINTHEBOX (IRE)",2016,GELDING,"Susan Corbett",H:100,S:87,H:87,H:x,H:x,H:x
"FOXTROT FLYER (GB)",2023,GELDING,,A:x,A:x,A:x,-,-,-
"FOZZIE (IRE)",2023,GELDING,"Kevin Ryan",T:x,T:x,T:x,T:x,-,-
"FRACTIONAL (GB)",2023,FILLY,"William Haggas",T:83,T:x,T:x,-,-,-
"FRAM CASTLE (IRE)",2021,GELDING,,A:33,T:49,A:49,T:51,T:52,A:57
"FRANCES ETHEL (SAF)",2020,FILLY,"William Haggas",A:97,A:95,T:79,-,-,-
"FRANCESCO BARACCA (GB)",2021,GELDING,"Eve Johnson Houghton",T:0,T:76,A:70,A:73,A:78,A:74
"FRANCESI (IRE)",2019,GELDING,"Tony Carroll",A:69,A:71,A:64,A:71,A:74,A:72
"FRANCIS DRAKE (IRE)",2022,GELDING,,A:59,T:46,T:50,A:66,A:66,T:57
"FRANCISCO (GB)",2021,GELDING,"Patrick Chamings",T:36,A:59,A:57,A:58,A:58,A:58
"FRANCISCO'S PIECE (GB)",2022,COLT,"Adrian Keatley",T:72,T:81,T:67,T:82,T:86,T:88
"FRANCKY BLUE (FR)",2021,GELDING,"Mrs C. Williams",H:111,H:x,H:x,N:x,-,-
"FRANCO DE PORT (FR)",2015,GELDING,"Miss Nikki Henton",H:114,S:138,S:123,H:0,-,-
"FRANCOPHONE (GB)",2021,FILLY,"Charlie Johnston",T:93,T:105,T:82,T:96,T:88,T:92
"FRANIGANE (FR)",2015,GELDING,"Paul Nicholls",H:118,H:118,H:99,S:117,S:107,S:73
"FRANK STAMPER (GB)",2022,GELDING,"Tony Carroll",H:80,H:70,H:99,H:88,H:99,H:93
"FRANKALI (GB)",2023,FILLY,"Ollie Sangster",T:26,A:40,A:17,A:53,A:47,A:50
"FRANKIE FAULKNER (IRE)",2017,GELDING,"Mrs C. Williams",S:45,H:47,S:79,S:80,S:77,H:56
"FRANKIES DREAM (IRE)",2022,GELDING,"Jennie Candlish",T:81,T:81,T:66,T:70,T:76,T:83
"FRANKIES FORTUNE (IRE)",2020,FILLY,"Lucinda Russell & Michael Scudamore",H:x,H:x,N:x,N:x,-,-
"FRANTIC (GB)",2023,FILLY,"Ed Walker",T:72,T:x,A:x,T:x,-,-
"FRAVANCO (GB)",2019,GELDING,"Michael Madgwick",H:87,A:49,H:34,A:52,H:x,H:x
"FREAK ENCOUNTER (IRE)",2022,GELDING,"Donald Whillans",A:28,A:31,A:32,A:39,A:27,A:46
"FREDA (IRE)",2022,FILLY,"Pat Phelan",A:69,A:x,A:x,A:x,A:x,-
"FREDDIE FLEETFOOT (GB)",2018,GELDING,"Carroll Gray",H:54,H:61,H:71,H:0,H:73,H:75
"FREDDIE STEADY GO (GB)",2021,GELDING,"Susan Corbett",T:x,T:x,T:x,H:x,N:x,N:x
"FREDDIE'S STAR (IRE)",2022,GELDING,"Roger Teal",A:66,A:67,A:x,A:x,A:x,T:x
"FREDDIEMISSMOLLI (IRE)",2020,FILLY,"Barry Murphy",H:55,H:x,H:x,H:x,N:x,N:x
"FREDDY ROBINSON (GB)",2019,GELDING,"Brian Ellison",T:58,T:58,T:57,T:57,A:50,H:113
"FREE PIC (IRE)",2021,FILLY,"Joel Parkinson & Sue Smith",T:56,T:55,T:52,A:45,A:48,A:45
"FREE SPEECH (IRE)",2021,FILLY,"Sam England",A:74,A:68,T:73,T:57,T:74,A:57
"FREE WORLD (GB)",2021,GELDING,"Ian Williams",T:0,-,-,-,-,-
"FREE YOUR SPIRIT (IRE)",2023,COLT,,A:x,A:x,A:x,-,-,-
"FREEDOM BAY (GB)",2022,FILLY,"Zoe Hawkins",T:20,A:29,A:x,T:30,A:41,T:42
"FREEWHEELIN (GB)",2018,GELDING,"John Norton",A:21,T:11,A:32,A:38,A:32,A:43
"FREEZING HAVANA (GB)",2023,FILLY,,A:0,A:x,A:x,A:x,-,-
"FRENCH AFFAIR (IRE)",2023,GELDING,"Richard Hannon",T:76,T:74,A:65,A:77,T:70,T:77
"FRENCH DUKE (IRE)",2021,GELDING,"Hamad Al Jehani",T:97,T:85,T:92,T:98,T:97,T:88
"FRENCH EMPEROR (FR)",2020,GELDING,"Nicky Martin",H:120,H:82,H:110,H:115,H:118,H:115
"FRENCH MASTER (IRE)",2021,GELDING,"John & Thady Gosden",T:98,T:109,T:87,T:109,T:108,T:101
"FRENCH SAND (IRE)",2022,FILLY,,A:67,A:75,A:82,T:82,T:91,A:x
"FRENCH SHIP (GB)",2020,GELDING,,H:137,H:126,H:0,H:141,H:146,H:136
"FRERE D'ARMES (FR)",2017,GELDING,"Dan Skelton",S:92,H:99,H:0,H:0,S:0,H:112
"FRESH (GB)",2017,GELDING,"James Fanshawe",A:0,A:72,T:77,T:83,A:82,T:92
"FRESH AS A DAISY (GB)",2019,FILLY,,H:106,H:0,H:x,H:x,H:x,N:x
"FRESH FADE (IRE)",2023,GELDING,"Michael Attwater",T:58,T:71,-,-,-,-
"FRESH KICKS (IRE)",2020,GELDING,"Nicky Henderson",S:96,H:118,H:115,H:109,H:x,H:x
"FRESH PERSPECTIVE (GB)",2020,GELDING,"Jamie Snowden",H:88,H:x,H:x,H:x,H:x,N:x
"FRESH SPECULATION (GB)",2018,GELDING,,H:120,H:117,H:111,H:102,H:0,H:105
"FRESHERS WEEK (IRE)",2021,GELDING,"Charlie Longsdon",H:119,H:115,H:x,H:118,H:x,-
"FRIDAY AGAIN (IRE)",2022,FILLY,,A:25,A:29,A:46,A:38,A:41,A:56
"FRIENDLY SOUL (GB)",2021,FILLY,"John & Thady Gosden",T:0,T:109,T:86,T:107,A:x,-
"FRIENDS DON'T ASK (GB)",2015,GELDING,"Clare Ellam",S:87,S:86,S:79,S:0,S:0,S:97
"FRINGILL DIKE (IRE)",2017,GELDING,"Jedd O'Keeffe",S:99,S:117,S:118,S:118,S:122,S:95
"FRIO (GB)",2023,COLT,"Seb Spencer",T:x,T:x,T:x,-,-,-
"FRISBY (IRE)",2018,GELDING,,S:84,H:x,S:110,S:110,S:108,S:105
"FROM THE CLOUDS (FR)",2017,GELDING,"Lucinda Russell & Michael Scudamore",S:99,S:125,S:121,H:123,H:x,H:x
"FROM THE HIP (GB)",2023,COLT,"Mark Usher",T:65,A:73,A:x,A:62,A:x,T:x
"FROMHERETOETERNITY (IRE)",2017,FILLY,"Jennie Candlish",H:112,H:114,H:105,H:114,H:110,H:113
"FRONT GUNNER (IRE)",2021,GELDING,"Ivan Furtado",T:53,A:56,A:50,A:63,A:51,A:55
"FRONT LINE FURY (IRE)",2023,GELDING,"George Scott",T:69,T:78,T:61,T:79,T:90,T:90
"FRONTAL ASSAULT (IRE)",2015,GELDING,"Fred Timmis",H:0,H:0,H:112,S:0,H:126,-
"FRONTIER PRINCE (GB)",2021,GELDING,"Fergal O'Brien",H:97,H:115,H:108,H:114,H:112,H:117
"FRONTPAGEMOOS (GB)",2021,FILLY,,T:11,A:31,A:28,A:35,A:46,A:x
"FROST AT DAWN (USA)",2021,FILLY,"William Knight",T:91,T:62,T:109,T:103,T:109,T:104
"FROSTMAGIC (IRE)",2022,GELDING,"Ismail Mohammed",A:18,T:76,A:78,A:75,A:58,A:72
"FRUSTRATION (GB)",2023,FILLY,,T:36,A:33,A:x,T:x,T:x,-
"FUEL THE FIRE (IRE)",2022,GELDING,,A:0,A:41,T:18,H:19,T:46,A:x
"FUGITIF (FR)",2015,GELDING,"Richard Hobson",S:123,S:0,S:132,S:120,S:131,S:117
"FUJI FLIGHT (FR)",2015,GELDING,,S:0,S:0,S:96,S:105,S:109,S:107
"FUJI MOUNTAIN (IRE)",2022,GELDING,"Declan Carroll",T:47,T:57,T:63,T:70,T:33,T:58
"FULFORD CROSS (GB)",2022,GELDING,"David Simcock",A:52,A:40,A:44,A:57,A:54,A:45
"FULL FORCE GALE (IRE)",2020,GELDING,"Tom George",S:56,S:102,S:97,H:x,H:x,N:x
"FULL GAS (IRE)",2023,GELDING,"Kevin Ryan",T:44,T:58,A:57,T:37,A:28,A:x
"FULLFORWARD (IRE)",2020,GELDING,"Michael Madgwick",T:40,A:46,H:x,H:x,T:46,M:37
